ANNO;TRIMESTRE;ID_EMPRESA;DESC_EMPRESA;ID_MUNICIPIO;DESC_MUNICIPIO;COORD_GEO_LATITUD_WGS84;COORD_GEO_LONGITUD_WGS84;DIRECCION;INDICADOR_TASA_DATO_MEDIA_HTTP
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;66170;DOSQUEBRADAS;"4°48'35.4096"" N";"75°40'1.4268"" O";Vereda Frailes Vereda la Hunalku;4447,58
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;54001;CÚCUTA;"7°54'23.04"" N";"72°28'11.46"" O";Calle 7 # 8 - 24 BARRIO SAN MARTIN;4432,99
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 27' 02''N;75° 14' 36''O;cra 10 No 5- 50 barrio belen;4416,55
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;13001;CARTAGENA;"10°23'17.4012"" N";"75°27'16.8012"" O";Calle 40 # 102A - 5 San Jose de los Campanos Sector Nueva Victoria;4411,7
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"10°57'2.16"" N";"74°48'44.28"" O";CALLE 56 # 8 - 61, BARRIO EL BOSQUE;4406,41
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;76001;CALI;"3°25'21.324"" N";"76°31'6.456"" O";Carrera 33B # 26B - 42;4401,42
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 15' 36''N;75° 33' 23''O;TRANSVERSAL 65 D # 45-32, BARRIO VILLA HERMOSA;4389,63
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"11°2'22.2"" N";"74°49'36.48"" O";Via 40 Las Flores;4373,13
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;19001;POPAYÁN;"2°26'26.412"" N";"76°36'25.92"" O";Kra 9 # 5-52;4340,65
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5001;MEDELLÍN;"6°15'36.0"" N";"75°33'23.04"" O";TRANSVERSAL 65 D # 45-32, BARRIO VILLA HERMOSA;4337,67
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"10°56'9.6"" N";"74°49'1.2"" O";CRA 2B # 66 - 23;4319,97
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;70001;SINCELEJO;"9°18'30.384"" N";"75°23'19.68"" O";CRA 28 # 17A-11;4317,72
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 25' 26''N;75° 11' 20''O;Av Mirolindo - Carnaval del pollo;4316,7
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5138;CAÑASGORDAS;6° 42' 02''N;75° 58' 22''O;IE PARAJE BOQUERON O MACANAL MUNICIPIO DE CAÑASGORDAS-ANTIOQUIA;4276,39
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25175;CHÍA;"4°51'53.316"" N";"74°3'41.04"" O";Torre Claro, Calle 15 Carrera 14;4253,56
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;13001;CARTAGENA;"10°23'42.0"" N";"75°33'13.32"" O";Calle 5 # 8 - 37 - Castillo Grande;4253,33
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5088;BELLO;"6°19'13.98"" N";"75°33'42.588"" O";Carrera 56 con calle 33;4225,72
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5483;NARIÑO;"5°36'55.1016"" N";"75°10'39.0504"" O";IE.Vereda San Rafael El Crucero parte alta;4221,04
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;17665;SAN JOSÉ;"5°5'4.7508"" N";"75°47'16.8"" O";Vereda la Paz, Finca la Esmeralda_ubicacion-2;4216,45
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 16' 50''N;75° 34' 42''O;MEDELLIN BARRIO EL PROGRESO;4199,12
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 26' 11''N;75° 12' 08''O;CARRERA 5 NO. 50;4193,27
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;50001;VILLAVICENCIO;"4°8'9.888"" N";"73°36'49.8708"" O";CALLE 17C # 12B-25;4190,05
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25754;SOACHA;"4°33'39.528"" N";"74°13'55.56"" O";K 7 # 14 - 94 SUR;4170,25
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;76001;CALI;3° 24' 33''N;76° 32' 05''O;Cra. 50 No. 12B-77;4169,73
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"11°0'52.56"" N";"74°48'15.12"" O";EDIFICIO OLIMPO KRA 70 # 79-17;4167,41
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5360;ITAGUI;6° 10' 09''N;75° 36' 16''O;Carrera 42 No. 53 - 26 Itagui;4133,55
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;54051;ARBOLEDAS;"7°38'24.0"" N";"72°47'24.0"" O";GRANJA MUNICIPAL  VIVERO MUNICIPIO ARBOLEDAS_ubicacion-3;4129,39
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;73001;IBAGUÉ;4° 25' 55''N;75° 14' 36''O;Cra 11a sur # 20-73;4116,87
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;66170;DOSQUEBRADAS;4° 48' 35''N;75° 40' 02''O;Vereda Frailes Vereda la Hunalku;4110,89
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;76001;CALI;3° 25' 27''N;76° 29' 34''O;CLL 72O# 28A-101 Taller;4101,31
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8758;SOLEDAD;"10°55'29.28"" N";"74°45'50.4"" O";Cra 36 calle 18;4101,26
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 16' 23''N;75° 34' 25''O;CARRERA 64C # 74-41;4099,5
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 15' 56''N;75° 33' 53''O;CARRERA 51C # 67A-59, BARRIO SEVILLA;4098,85
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;52317;GUACHUCAL;"0°57'42.8004"" S";"77°43'37.2"" O";IE.FINCA EL VOLADOR, CERRO ALTO SANO;4064,88
2018;3;830114921;COLOMBIA MOVIL  S.A ESP;5001;MEDELLÍN;6° 14' 38''N;75° 33' 53''O;CR 43 N° 46-67 EDIFICIO MUNERA;4062,29
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;"11°0'12.6"" N";"74°50'5.28"" O";KRA 43 # 99 - 50;4057,3
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;25754;SOACHA;"4°34'52.716"" N";"74°12'1.8"" O";CALLE 31 A # 4E-11;4045,94
2018;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5088;BELLO;"6°21'6.5412"" N";"75°34'8.2164"" O";Carrera 66 # 73- 60;4024,6
